AAK,AAT,AEN,AFC,AFG,AFR,AFT,AGT,AGV,AHW,ALC,APAAC12,APAAC14,APAAC20,AQC,AQI,AQL,AQM,ASS,ATM,ATS,AVP,AVT,AWT,CDS,CIL,CSG,EGM,F,FAV,FCS,FFG,FFL,FHL,FI,FIG,FLL,FLM,GIA,GIG,GLT,GMV,GS,GSL,GST,GV,GWQ,GWT,GearyAuto_Hydrophobicity20,GearyAuto_Mutability20,GearyAuto_Mutability5,GearyAuto_Steric8,HLT,IGA,II,IIM,ITA,KGG,LF,LID,LK,LN,LTR,LTS,LVD,LVI,LY,LYS,M,MF,MP,MQ,MSA,MoranAuto_AvFlexibility19,MoranAuto_AvFlexibility20,MoranAuto_AvFlexibility8,MoranAuto_Hydrophobicity17,MoranAuto_Mutability14,MoranAuto_Mutability19,MoranAuto_Polarizability18,MoreauBrotoAuto_AvFlexibility20,MoreauBrotoAuto_AvFlexibility24,MoreauBrotoAuto_FreeEnergy10,MoreauBrotoAuto_Hydrophobicity13,MoreauBrotoAuto_Polarizability22,MoreauBrotoAuto_ResidueVol13,NW,PAAC21,PAAC22,PAAC27,PAAC28,PAAC29,PGV,PLF,PLL,QC,QGM,QY,RLT,RSA,RV,SGV,VAI,VGL,VGS,VGT,VIA,VLA,VSV,VVD,YST,_ChargeD1050,_ChargeD3025,_HydrophobicityT23,_PolarityC1,_SecondaryStrD1001,_SecondaryStrD1075,_SecondaryStrD3075,_SecondaryStrD3100,_SolventAccessibilityC1,autocorr_3,bomanindex,labels
0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,-0.0,-0.0,0.936,1.307,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,0.13699999999999998,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.024,0.514,-0.0,-0.61,0.0,-0.318,-1.115,0.738,-0.078,-1.77,0,0,0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,14.286,57.143,0.385,0.5,14.286,50.0,71.429,78.571,0.643,-0.01824545454545452,-0.10571428571428584,vfp
0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.657,1.548,0.91,1.304,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,4.0,0.0,0.0,0.0,0,0.095,0.039,-0.038,-0.261,0.244,0.028,-0.179,0.028,0.195,0.07200000000000001,-0.207,0.02,0.032,0.0,-1.271,-0.718,-0.106,0.3670000000000001,-0.51,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,40.0,92.0,0.208,0.4,16.0,52.0,56.0,72.0,0.32,0.25820454545454546,1.6519999999999997,vfp
0,0,0,0,0,0,0,0,0,0,0,19.537,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.415,0.002,0.846,0.925,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,4.762,0.0,0.0,0.0,0,-0.972,-0.426,0.35600000000000004,0.637,0.269,-0.485,-0.068,0.55,-0.0,-0.192,-0.151,-0.0,0.207,0.0,-0.318,-0.574,2.533,1.246,0.108,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,14.286,66.667,0.1,0.333,9.524,85.714,38.095,47.619,0.238,0.0915,2.5342857142857134,vfp
0,0,0,0,0,0,0,0,0,0,0,9.768,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.053,0.232,0.759,1.259,0,0,0.0,0,0,0,0.0,0,5.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.728,0.058,-0.09,0.51,0.472,-0.203,-0.112,-0.106,-0.0,-0.259,0.415,-0.0,0.284,0.0,0.779,0.574,-0.456,0.123,0.103,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4.762,23.81,0.35,0.476,4.762,42.857,61.905,76.19,0.5710000000000001,0.2115,0.7,vfp
0,0,0,0,0,0,0,0,0,1,0,2.623,0.0,18.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,3.23,0,0,0.521,0.818,1.044,0.614,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,6.25,0.0,0.0,0.0,0,-0.135,0.211,0.5539999999999999,0.404,0.163,-0.32299999999999995,-0.289,-0.221,-0.34700000000000003,0.175,-0.098,0.6579999999999999,0.07400000000000001,3.23,1.162,0.16399999999999998,0.953,0.6970000000000001,1.053,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,87.5,12.5,0.355,0.531,3.125,56.25,65.625,78.125,0.7190000000000001,0.2863517241379311,-1.3340625,vfp
0,0,0,0,0,0,0,0,0,0,0,5.3420000000000005,5.3420000000000005,5.3420000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2.346,0.957,1.418,0.962,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.87,-0.606,0.44,-0.764,0.14400000000000002,0.094,0.145,-0.7490000000000001,-0.0,-0.076,0.153,-0.0,0.6890000000000001,0.0,-0.695,-0.213,0.774,1.554,-2.025,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,38.095,95.238,0.2,0.333,4.762,66.667,76.19,95.238,0.5710000000000001,0.18525000000000005,1.7304761904761907,vfp
0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1.014,0.863,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.527,0.302,0.13699999999999998,0.076,0.349,-0.111,-1.176,-1.233,-0.0,-0.241,-0.7929999999999999,-0.0,-0.3720000000000001,0.0,-0.076,0.324,2.849,1.182,-2.051,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,19.048,14.286,0.15,0.333,4.762,80.952,52.381,95.238,0.238,0.29057777777777777,3.5938095238095245,vfp
0,0,0,0,0,0,0,0,0,0,0,9.724,0.0,4.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.172,4.05,0.7070000000000001,0.777,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.435,0.513,0.067,-0.227,-0.443,-0.965,0.16899999999999998,-0.37,-0.0,-0.085,0.266,-0.0,0.29100000000000004,0.0,0.439,0.174,0.893,1.761,1.031,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4.762,100.0,0.3,0.333,4.762,9.524,85.714,100.0,0.28600000000000003,-0.12281111111111112,1.99,vfp
0,0,0,0,0,0,0,0,0,0,0,11.027,0.0,22.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,-0.0,-0.0,1.104,0.845,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,0.394,0.845,-0.08,-0.0,0.0,-0.0,-0.0,0.129,0.035,-0.0,-0.08,0.0,1.831,2.0,-1.5930000000000002,-2.531,-1.6669999999999998,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,38.889,5.556,0.235,0.333,5.556,50.0,83.333,100.0,0.389,-0.3973933333333334,1.4644444444444444,vfp
0,0,0,0,0,0,0,0,0,0,0,13.675,0.0,13.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,-0.0,-0.0,0.924,1.28,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,-0.0,-0.0,-0.285,-0.0,-1.254,-0.0,-0.0,-0.0,-0.0,-0.005,-0.324,-0.0,0.53,0.0,-3.922,-2.998,1.192,0.8640000000000001,-1.57,0,0,0,0.0,0,0.0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,12.5,0.0,0.333,0.375,12.5,81.25,56.25,93.75,0.5,-0.5439538461538462,1.2118750000000005,vfp
